带主播,2508901,这个人很蠢，什么都没有留下,百度云：你快任你快，我限你的速[doge]
BIU-兄控,29418190,万事皆虚，万事皆允,"华为：让你们重新认识5G  
百度云：让你们重新认识5G[小电视_赞]"
亦灯舒嘤,9853281,随便看看,我有预感，不，我确信，你这个视频能爆！超棒！！！
在下老大鸽R翔,11493146,社禽，没事整点烂活，努力月更（大概，咕咕咕~,5年后。我重新翻开这个视频，感慨道：“当年的何老师还叫何同学啊～”[小电视_太太喜欢]
mi_lk,14520563,,"首先赞一个，同学的视频做的真的不错。作为业内人士解答一些你视频中的问题：1-nsa和sa的区别：我们将基站传输类似比喻成自来水管道，nsa部署相当于把你家的自来水水口头扩大了，但是你这栋楼的入水管没有改造，你最多还是只能分到那么点水，sa部署相当于改造这栋楼的入水管（专业术语核心网），改造完后，你就可以真正的体验5G流量的水龙头了。2-为什么是联通？现在三大运营商5G建设，联通最快，移动最多，电信最稳。3-你使用的5年前的历史搜索来证明5G应用的未知性对吗？这需要重新理解“4G到5G，中国从跟随到引领”这句话，中国在部署4G网络的时候，国外已经有大量的商用网络和成熟应用，国内的大量应用说实话就是参考国外的本土化一下，所谓的未知只是针对我们这些韭菜的；对于5G，大家理解的更多的是***发牌，网络建设引领，华为设备引领，其实应用引领也是非常重要的，赚不到钱的网络不是好网络，以后会不会出现中国应用美国抄的一天呢，相信会有的。4-速率会不会是5G最无聊的应用？是的，现在说5G，更多的是在探索行业应用，我们这些韭菜的流量钱运营商已经懒得赚了。"
牧夫_233,38539458,,视频里最有特色的一点是对于2012年那时候的4G回望。我很喜欢这样思考人生思考社会环境的何同学[小电视_笑]
风中一条喵,14504035,,真厉害，一个在读学生，科技自媒体，却没多少对实物的测评，却能比很多拿着n多电子产品的up做的都要好。再次印证约束一个人的发展的并不是物质条件，而是想法。
二次元的中科院物理所,407045223,没错，在下中科院物理所，请多指教。,我也想体验一下5G[喜欢] @OPPO
TomatoPetain,92685996,我是无名氏,说得非常好…人对未来的预测是基于当下的，如果去问1600年的人对未来的预测他们会说更快的马，1888年的他们会说更长更快的火车，去问1940年的人的话他们会说更大更快的汽车。因为1600年只有马，1888年只有火车，1940年只有汽车。未来有无限可能，在时间的车轮下谁都无法体验未来
中国联通客服官方,432158620,整活高手，官方舞见！关注不亏，福利无限！,我来晚了[小电视_赞]
熊厚道,26304502,你怼我我能不怼你？,岳父也是北邮毕业，77级，毕业后分配到邮政参加工作。后老邮政分家，丈人和40名技术骨干来到电信，没日没夜的干，被集团视察组笑称为“西北敢死队”。04年电信成功上市，慢慢很多人选择退居二线，唯独岳父一根筋，就是不服老，脏活累活通宵加班仍是家常便饭。后被组织抽调到通服，奋斗4年后通服也顺利在香港上市了，目前老人已退休。我今天把up主这个视频给他看了，他激动说：“当年就算全北邮也没有这么优秀的孩子！”        这会他在厨房，说晚上想喝两盅。
活好BetterLiving,13445930,一起努力活得更好吧！商务VX: qianpai96,OPPO让我联通电信移动都办了卡，到现在还没给我开通5G[画风突变]
折纸的白叔,2929582,"日更的微信公众号：白叔的折纸日记，了解一下？
（商务QQ:1833318393）","5G之后花销最大的可能是租用存储空间和运算能力，移动设备大概会是白送的
真正的瓶颈……可能还是电池吧，充电宝生意还能稳很久"
Sofronio,7103073,视频内的相关产品：Sofronio.cn/page-about.php,正好是北邮的何同学哈哈哈
碗里有混沌,17754335,心机拉奶！,卧槽。。。。。中间那里查一下4'G有什么用，真的好棒。这种转换思维真的绝了，既然我无法准确预测到未来，那我就站在过去的眼光看现在。卧槽是真的牛逼，谢谢大哥 我的议论文又要新的论点了[委屈][委屈]
懵逼的纸,23097134,大丈夫 行こう あとは楽しむだけだ,我知道了，又是招生办的阴谋[doge]
带主播,2508901,这个人很蠢，什么都没有留下,百度云：你快任你快，我限你的速[doge]
BIU-兄控,29418190,万事皆虚，万事皆允,"华为：让你们重新认识5G  
百度云：让你们重新认识5G[小电视_赞]"
亦灯舒嘤,9853281,随便看看,我有预感，不，我确信，你这个视频能爆！超棒！！！
在下老大鸽R翔,11493146,社禽，没事整点烂活，努力月更（大概，咕咕咕~,5年后。我重新翻开这个视频，感慨道：“当年的何老师还叫何同学啊～”[小电视_太太喜欢]
mi_lk,14520563,,"首先赞一个，同学的视频做的真的不错。作为业内人士解答一些你视频中的问题：1-nsa和sa的区别：我们将基站传输类似比喻成自来水管道，nsa部署相当于把你家的自来水水口头扩大了，但是你这栋楼的入水管没有改造，你最多还是只能分到那么点水，sa部署相当于改造这栋楼的入水管（专业术语核心网），改造完后，你就可以真正的体验5G流量的水龙头了。2-为什么是联通？现在三大运营商5G建设，联通最快，移动最多，电信最稳。3-你使用的5年前的历史搜索来证明5G应用的未知性对吗？这需要重新理解“4G到5G，中国从跟随到引领”这句话，中国在部署4G网络的时候，国外已经有大量的商用网络和成熟应用，国内的大量应用说实话就是参考国外的本土化一下，所谓的未知只是针对我们这些韭菜的；对于5G，大家理解的更多的是***发牌，网络建设引领，华为设备引领，其实应用引领也是非常重要的，赚不到钱的网络不是好网络，以后会不会出现中国应用美国抄的一天呢，相信会有的。4-速率会不会是5G最无聊的应用？是的，现在说5G，更多的是在探索行业应用，我们这些韭菜的流量钱运营商已经懒得赚了。"
牧夫_233,38539458,,视频里最有特色的一点是对于2012年那时候的4G回望。我很喜欢这样思考人生思考社会环境的何同学[小电视_笑]
风中一条喵,14504035,,真厉害，一个在读学生，科技自媒体，却没多少对实物的测评，却能比很多拿着n多电子产品的up做的都要好。再次印证约束一个人的发展的并不是物质条件，而是想法。
二次元的中科院物理所,407045223,没错，在下中科院物理所，请多指教。,我也想体验一下5G[喜欢] @OPPO
TomatoPetain,92685996,我是无名氏,说得非常好…人对未来的预测是基于当下的，如果去问1600年的人对未来的预测他们会说更快的马，1888年的他们会说更长更快的火车，去问1940年的人的话他们会说更大更快的汽车。因为1600年只有马，1888年只有火车，1940年只有汽车。未来有无限可能，在时间的车轮下谁都无法体验未来
中国联通客服官方,432158620,整活高手，官方舞见！关注不亏，福利无限！,我来晚了[小电视_赞]
熊厚道,26304502,你怼我我能不怼你？,岳父也是北邮毕业，77级，毕业后分配到邮政参加工作。后老邮政分家，丈人和40名技术骨干来到电信，没日没夜的干，被集团视察组笑称为“西北敢死队”。04年电信成功上市，慢慢很多人选择退居二线，唯独岳父一根筋，就是不服老，脏活累活通宵加班仍是家常便饭。后被组织抽调到通服，奋斗4年后通服也顺利在香港上市了，目前老人已退休。我今天把up主这个视频给他看了，他激动说：“当年就算全北邮也没有这么优秀的孩子！”        这会他在厨房，说晚上想喝两盅。
活好BetterLiving,13445930,一起努力活得更好吧！商务VX: qianpai96,OPPO让我联通电信移动都办了卡，到现在还没给我开通5G[画风突变]
折纸的白叔,2929582,"日更的微信公众号：白叔的折纸日记，了解一下？
（商务QQ:1833318393）","5G之后花销最大的可能是租用存储空间和运算能力，移动设备大概会是白送的
真正的瓶颈……可能还是电池吧，充电宝生意还能稳很久"
Sofronio,7103073,视频内的相关产品：Sofronio.cn/page-about.php,正好是北邮的何同学哈哈哈
碗里有混沌,17754335,心机拉奶！,卧槽。。。。。中间那里查一下4'G有什么用，真的好棒。这种转换思维真的绝了，既然我无法准确预测到未来，那我就站在过去的眼光看现在。卧槽是真的牛逼，谢谢大哥 我的议论文又要新的论点了[委屈][委屈]
懵逼的纸,23097134,大丈夫 行こう あとは楽しむだけだ,我知道了，又是招生办的阴谋[doge]
