多芬dolphin,311608988,画画的,能感受到你工作时那种专注的境界以及钻研精神，做事认真严谨的态度，以及剖析具体事物的逻辑的能力。不得不说你跳的如此到位是你的学习能力确实很强，汤姆这人是真行，他是真想教会你IKUN绝招[牛年]
第29号躺平员,90187860,一枚肥宅,动作很像，但很生硬。毕竟不是练习时长两年半的偶像练习生。
慕江-Myjin,516230268,,"假IKUN：敲键盘喷人小黑子树脂66给坤坤招黑
真IKUN：愿意花时间精力为了坤坤创作教学视频"
我在三重县,1691611249,,没错，这个背身抖肩真的灵魂，全网没一个有感觉的[支持]
我是派哥本人,1473457840,,中分刘海剪好了，篮球买好了，白带买好了，点赞过2w，直接更新，不多bb[墨镜]
-涂山蓉蓉-,40103656,,"世界上有五种好：
早上好、中午好、晚上好、大家好，还有全民制作人们大家好"
半倚深秋ii,85778578,,多年后等鲲鲲老了那些ikun都不喜欢他了都去粉其他小鲜肉了，只有我们会凑上前亲切的叫一声鸡哥。巅峰产生虚伪的拥护，黄昏见证真正的信徒，时间会证明谁才是ikun[doge]
大鹅总是去鹤乡做饭,217685690,哈哈还哈,交作业了老师看看合不合格[大哭]练了一下午了
patlabor0910,22799705,富野信者,原来坤坤经历了那么多训练才达到了这个效果 真心牛逼
传奇天顶剑,294893878,"随缘更新，感谢关注！！！感谢关注！！！感谢关注！！！
(*￣з￣)",估计真IKUN都没有他努力，他真的，我哭死[保卫萝卜_哭哭]
意晓鱼,455207779,,人家坤坤学了两年半，你就想看个视频两分半学会[doge]
津轻少女,15855681,如果让你重新来过……,你让坤坤再挑一次，他肯定跳得不一样！[抠鼻]
冰轮哥哥,13272374,,恭喜cxk在全国蔡徐坤模仿大赛中获得亚军[tv_斜眼笑]
无极僻邪剑法,1887366605,,有谁记得他以前是教板绘的？[doge][doge][doge]
邻居家的小妹崽,310144681,,原来这些动作这么难的吗，我之前误会坤坤了，对不起[酸了]
木知铃,8185080,平时会分享自己喜欢的番剧BGM，偶尔做做视频整活，一切随缘，懒狗UP  ：）,《宅舞频道精选》[嗑瓜子][嗑瓜子][嗑瓜子]
羊哩,305621872,,我感觉坤哥都可以接个这套服装的代言赚得盆满钵满了[妙啊]
神里绫夏,753812,,看过很多模仿坤坤的，大多都是乱跳，这是我见过最像的模仿，但是还不够完美，动作比较僵硬，希望下一期可以把细节做好，做一个完美的Ikun
汤姆的混乱空间,11643866,游戏原画师，粉黑二象性理论奠鸡人，教学万花筒，周末9点不定期直播。,纯享版的来了！期待各位IKUN的作业[高考加油]BV1Ur4y1g7WH
汤姆的混乱空间,11643866,游戏原画师，粉黑二象性理论奠鸡人，教学万花筒，周末9点不定期直播。,都是友军搞毛啊[生气]
多芬dolphin,311608988,画画的,能感受到你工作时那种专注的境界以及钻研精神，做事认真严谨的态度，以及剖析具体事物的逻辑的能力。不得不说你跳的如此到位是你的学习能力确实很强，汤姆这人是真行，他是真想教会你IKUN绝招[牛年]
第29号躺平员,90187860,一枚肥宅,动作很像，但很生硬。毕竟不是练习时长两年半的偶像练习生。
慕江-Myjin,516230268,,"假IKUN：敲键盘喷人小黑子树脂66给坤坤招黑
真IKUN：愿意花时间精力为了坤坤创作教学视频"
我在三重县,1691611249,,没错，这个背身抖肩真的灵魂，全网没一个有感觉的[支持]
我是派哥本人,1473457840,,中分刘海剪好了，篮球买好了，白带买好了，点赞过2w，直接更新，不多bb[墨镜]
-涂山蓉蓉-,40103656,,"世界上有五种好：
早上好、中午好、晚上好、大家好，还有全民制作人们大家好"
半倚深秋ii,85778578,,多年后等鲲鲲老了那些ikun都不喜欢他了都去粉其他小鲜肉了，只有我们会凑上前亲切的叫一声鸡哥。巅峰产生虚伪的拥护，黄昏见证真正的信徒，时间会证明谁才是ikun[doge]
大鹅总是去鹤乡做饭,217685690,哈哈还哈,交作业了老师看看合不合格[大哭]练了一下午了
patlabor0910,22799705,富野信者,原来坤坤经历了那么多训练才达到了这个效果 真心牛逼
传奇天顶剑,294893878,"随缘更新，感谢关注！！！感谢关注！！！感谢关注！！！
(*￣з￣)",估计真IKUN都没有他努力，他真的，我哭死[保卫萝卜_哭哭]
