name,id,sign,comment
无言-Kun,14609028,不忘初心，方得始终。,我投了两个币，他们非说我只投了一个[妙啊]
Ann小梦,38895642,戒  骄 戒  躁,大风起兮云飞扬，安得猛士兮守四方，麻匪，任何时候都要剿，不剿不行
普尔斯莱恩,381571600,,人们不愿意相信一个土匪的名字叫牧之，人们更愿意相信叫麻子，人们特别愿意相信，他的脸上应该他妈长着麻子
还有一天就放假了,7792521,让放假再飞一会儿！催更群：874246234,真是惊喜！
小强同志·,756509,歌巴德.铁爪公派阿尔道夫吟游诗人学院留学的绿皮小子狂砍砍是也！,《让子弹飞》能让我吹一辈子的电影
妙木山の塔姆仙人,266936529,,"弟兄们，
上任，
鹅城！
县长来了！鹅城太平了。
县长来了！青天就有了。
在鹅城，我只办三件事，
公平，公平还是TMD公平
走几步，走出个一日千里
走出一个虎虎生风
走出一个恍如隔世
霸气外露
算逑
不急不急跟他耍耍
三步之内拔他几颗牙
鄙人张麻子当县长
能不能站着把钱掌
一就是一二就是二
你不是欺负老实人吗
请客斩首收下当狗
项羽请刘邦啊
马县长马县长
就是装糊涂的天才
一百八十万剿匪凯旋
马上送来
那你怎么就相信
县长真的糊涂
我脑子里想的只有把你的腿对半开
大风起兮云飞扬
安得猛士兮走四方
江湖豪情侠胆柔肠
枪在手跟我杀四郎"
输菜,21869571,来自m78星云的超级赛亚人,2020年十大鬼畜视频之一，我说的，不信年底见。理由：音乐和原声融合的太好了，好到了有那么一瞬间我以为没有调音，就是里面人物唱的。最重要的是鹅场有什么含义，让子弹飞有什么深意，都要比一般的鬼畜视频意义大吧，这就是加分项啊，唯一能和让子弹飞，估计也就是鲁迅的让年轻人站起来了。所以十大鬼畜视频妥妥的。我认为十大不能单纯的用播放量来评价。应该用三个方面：分别是音乐与原视频的融合度，歌词的深度，以及做视频的难度程度。
小米汽车official,17225063,你在红楼，我在西游。,“我们走后，他们会给你们修学校和医院，会提高你们的工资，这不是因为他们良心发现，也不是因为他们变成了好人，而是因为我们来过。”
某天fantasy,56605521,去感受人海。,"张麻子走了，留给了鹅城老百姓公平
而鹅城老百姓背叛了他，他们不要公平，他们想成为黄四郎
如果张牧之知道他为之奋斗一辈子的鹅城百姓，通过辱骂他，贬低他来凸显自己的“看透一切”，“世人皆醉我独醒”，他还会这么做吗？答案是他还是会这么做
不需要谁来肯定张麻子才能提现他的伟大，他本就是这么一个背负着使命感的人物，他本就伟大。
话可以随便说，但没有一个人能像张麻子一样救鹅城百姓，他们只知道变着法的骂着张麻子和他留下的宝贵财富。
只有张麻子和他留下的精神才可以救鹅城百姓，这点是黄四郎给再多的钱也换不来的。"
哦呼w,59905809,一个做鬼畜的丨 本人作品开放二创，注明出处即可，不用私信啦 丨合作请私信 ,邪不压正鬼畜[捂眼]BV17v411r7qY
大白菜。,31992289,,"师爷：砸了你们，砸了，
师爷：兔子都知道不吃窝边草，六个人，还当着人UP的面儿白嫖。还不点赞，呸，恶心，我都投个币。这种视频你们投个币吗？投一个，花不了多少硬币，哪怕点个关注呢？简直就是土匪，土匪都不如。还指望人UP更新视频，三连肯定捞不到了。呸，恶心，恶心，RUA，恶心呐！"
哦呼w,59905809,一个做鬼畜的丨 本人作品开放二创，注明出处即可，不用私信啦 丨合作请私信 ,单曲已上传 http://music.163.com/song?id=1472803641&userid=93267910
哦呼w,59905809,一个做鬼畜的丨 本人作品开放二创，注明出处即可，不用私信啦 丨合作请私信 ,"音频传电台了 http://music.163.com/dj?id=2068094306&userid=93267910  不能点链接的可以搜索哦呼w电台
伴奏也在上传了  估计明天过审"
应特纳雄耐尔就要实现,443798979,和恶魔做斗争的人要小心，避免自己也变成恶魔；当你凝视深渊的时候，深渊也在凝视你,"《我不是药神》教会了我们有一种病，是穷病
而《让子弹飞》，教会了我们怎么彻底根治这种病"
飞鸟與云,163000739,.,这种视频上热搜才是应该的，最近热搜真的有变烂的趋势(问就是鹅牛逼)
0aoliao0,471630128,,今天我们英语课上放出了让子弹飞的剧照，结果我就大喊一声“敢 杀 我 的 马 ！”然后全班同学都在看我，老师也在看，我也蒙了
哇嘎哩马斯,748371,,我寻思要是看完觉得不好，正常人做法不应该是关闭视频不管了吗？这么多人非要在评论里刷一下存在感呢？这不就up做得好数据好上排行榜了，一群人非要来说一下显示自己我独醒呗……
丨II丨I丨II丨,162630905,这个美丽的世界之中一个默默又渺小的见证者罢了,哪个鬼才弄的仙人掌来了的高级弹幕[笑哭][笑哭]
bili_386660392,386660392,,看鬼畜图一乐就行了，说实话，我还是不希望有太多年轻人去解读这部电影[doge]
无言-Kun,14609028,不忘初心，方得始终。,我投了两个币，他们非说我只投了一个[妙啊]
Ann小梦,38895642,戒  骄 戒  躁,大风起兮云飞扬，安得猛士兮守四方，麻匪，任何时候都要剿，不剿不行
普尔斯莱恩,381571600,,人们不愿意相信一个土匪的名字叫牧之，人们更愿意相信叫麻子，人们特别愿意相信，他的脸上应该他妈长着麻子
还有一天就放假了,7792521,让放假再飞一会儿！催更群：874246234,真是惊喜！
