name,id,sign,comment
吃素的狮子,808171,发现生活，改变自己,失踪人口回归（￣▽￣）
燕怀烛,11080875,The time has come to be alive,评论里和周刊下面说质量的，我想说，B站还没哪个UP主靠粉丝可以刷出百万播放几万硬币周榜第一。。。你不爱听不代表质量不好，你也不能代表所有人，鬼畜本来也不是多主流的艺术，有人爱听爱循环就行了，反正我就是可以循环一百遍还觉得带感
可我就喜欢带刺的玫瑰,20936278,我 永 远 喜 欢 艾 露 迪,"刚看这个视频的时候好像是2015年   当时我是个小萌新  笑的不行 很开心
转眼我也是个成熟的5级会员了-.-   好快啊
不管B站变成什么样  希望大家不要忘了初心
还有啊
生活不易   希望大家都能好好的！"
我很丢人对不起,5956806,这个人懒死了,第一次看完，当时就跪了，第二次听，肾上腺素激增，正高兴着，转过头一看老师在看着我笑……
永远的MG,12279618,"MC组合粉丝群90375834  
努力做一个闻过则喜的人 
妖都苦逼程序员一枚
重度原神玩家（B服）","大致统计了一下音频部分细节的更改（肯定还有很多没听出来的，欢迎补充）
00：57 志玲最爱  
原版的“爱”与“最”未断开，且羊驼的声音稍微快了。
新版断开了“爱”，并把羊驼的声音正确卡上了节奏。
01：04  （这个星期）搞搞比利
前面的（这个星期）被弱化处理，需要带耳机才能比较清晰听出；原版此处可较容易听出。
01：50，“轻而易举死机”的“死机”似乎调小了音量，后面接的“卧槽”也随之小声了。（不确定）
02：26  rap换词了（大部分人都休息到了），但最灵魂的一句还在。
03：21  斑马的叫声收尾更加干脆（不确定）
end  加了个“2018.9.9重制”字样
其他有一些地方似乎也有做一些细微的对轨调整，但程度均不大。
总体来说，单说技术，个人感觉比之前更好了。而且现在能活下来已经是万幸，也别苛求太多了。且看且珍惜吧。"
SerinusCanaria,12750718,抱着信念前行吧！闪亮的日子会继续下去的~kira~kira~,不是新人都变成了怪物，而是怪物变成了新人2333
排骨教主,486183,排骨教主，名传千古，千秋万代，一统江湖,好听！！！！！
你喵的为什么,881479,这个人懒死了，但是写了签名,噢噢噢这个新人真是太雕了 什么!你和我说这个是四大欠王的成员!?四大欠王不是一直只有三个人吗!～(￣▽￣～)(～￣▽￣)～
瑾瑜不爱吃金鱼鱼,14137784,这人很帅，什么也没留下,就算四欠不做鬼畜了，我们也记得他们曾经的传说[小电视_赞][小电视_赞]
十里坡幽灵,36417473,,《黑喂狗》由于部分内容不符合相关规定而需要修改，离开你们也有一段时间了，可惜年代久远，想要完美恢复当年《黑喂狗》工程的可能性几乎为零，所以修改起来也十分困难。在制作重制版的过程中必须替换掉一部分我最喜欢的内容，所以重制部分有可能并不会再像原作一样精彩。但对于我而言，我做的每一个鬼畜都像是自己的孩子，《黑喂狗》是所有孩子中，我最喜欢的一个，我不忍心看着它饱经风霜，在外流浪。所以这一次，我会尽力把它带回来，哪怕它最后变了模样。(这是白鼠的原话)
只有love0,2903573,我想做一个up，我会做一个up，我…,这新人好有前途我喜欢。我跟你介绍个组织吧。叫三欠
Hero丶闪闪,11419962,,"狮鼠大法好！搞gay不起早！
有鼠玩鬼畜！有狮上白鼠！"
蒙古海军司令巴特巴彦,13806984,我本想这个冬日就去死的，可最近拿到一套鼠灰色细条纹的麻质和服，是适合夏天穿的和服，所以我还是先活到夏天吧 太宰治 先生的温柔，是我的追求,"不知从何时对鬼畜区失去了曾经的热爱，只是偶尔在鬼畜区蜻蜓一点。鬼畜区以不在当年的风光，视频50万大关也难破
今夜我点开了一个百元哥的老视频，然后一发不可收拾，一直看呀看，直到看到这里，最初的激情呀！我曾经的狂笑与欢喜！曾经引我入B站的鬼畜，你累了吗？
还能站起来吗？
                                 2017 8月由感而发"
