name,id,sign,comment
Reality-大帝,91443113,你我山巅自相逢,三年又三年，周杰伦你知道这6年我是怎么过的吗！！！
大家的音乐姬,32708543,音乐区官方账号就是在下！,新歌如约而至！！[奶茶干杯][热词表情_哎呦不错哦]周董邀你参赛啦！周杰伦《最伟大的作品》新专辑同名曲MV已上线，新歌二创大赛火热进行中，不限分区、不限形式，还有机会被周董批改作业?  传送门：https://www.bilibili.com/blackboard/Zhoujielun-H5.html
郎朗,479893558,郎朗上头 ,哎呦不错呦[辣眼睛][辣眼睛][辣眼睛]
粤吃粤好味,112244787,商务/非商务合作可私信联系||一个大约200斤的肥宅.....宅男....又丑....又胖...,"2000年我遇到一位《可爱的女人》，可是我《开不了口》，因为她真的太优秀了，我只能《安静》的在远处看着她，时过境迁，物是人非了，和她已经很久没联系了，身边也有很多人离开了，这是真的想《回到过去》，想喝一下《爷爷泡的茶》，想回到《三年二班》的那个《晴天》的日子，想和一切来不及说上话的说一句藏在心里很久的话，《你听得到》吗？
           那个带着《七里香》的夏天又来了，你们邀请我去参加《园游会》，说她也回来了…可是我却找了一个《借口》说我有事就不去了，晚上我一个人在哼唱着《夜曲》，听着你最喜欢的《发如雪》，吃着以前我们以前最喜欢的《麦芽糖》，幻想着我们能一起去看《珊瑚海》，可是一切都太晚了，你《听妈妈的话》，去了《千里之外》进修，再回来之时，早已与以前那个你不一样了…你变得更加的优秀，我只能一遍又一遍的《退后》，因为《我不配》，我太废了，我可能就是一个《阳光宅男》吧，大概，也可能不是！
          又过了几年了，整理电脑的时候突然发现以前和你的合照，还记得那天你看到《彩虹》，非常开心，还说赶紧许愿才行，我们也做了一个《蒲公英的约定》，希望我们的相遇会是一部《最长的电影》！
         今年又是下雨的一天，不想起床了，《给我一首歌的时间》让我继续睡眠吧，梦里我与你一起去看《花海》，去到了《稻香》之处，遇到一个《流浪诗人》，我们去了很多地方，玩的很开心，可是《说好的幸福呢》，都是幻觉，如果有《时光机》那该多好！
        依稀记得，那天和你《说了再见》，如今回了一句《好久不见》，天空不作美，《雨下一整晚》，我每天活得就像《自导自演》！"
于心而笙,184921089,逗比逗比逗比逗比快看大逗比,哈哈哈哈哈MV里都是杰伦自豪的小魔术哈哈哈哈哈[doge]
中国森林消防,290573666,我们是国家综合性消防救援队伍，“全灾种，大应急”，我们一直守护在你的左右！投稿邮箱：zgxfjy@foxmail.com,想象依然无限大，作品依旧周杰伦。[歪嘴]
橘9啊,14576880,没什么特别,从11点59开始不停刷新的样子真的很狼狈[妙啊][妙啊][妙啊]
茶鸟-,215217926,不要跟傻b争论,原来只有一首歌吗，我还以为整张专辑都有[笑哭]（想太美
生死狙击2官方,384306796,生死狙击2全面公测！与杰伦一起为热爱上膛！,"还好提前吃了定心丸，差点激动的厥过去
不愧是哥最伟大的作品！听说708还有给咱拍的微电影[doge][doge][doge]"
秃头的白小明,22707531,顶上战争剧场版进度：70％.....（商业合作请加QQ1143071667）,太对味了！哥！！！
咪咕音乐官方,522608013,放肆听 趣玩乐,这就是周杰伦的艺术狂想！你永远可以相信周杰伦！惊喜如期而至，热爱永不停歇[打call][打call][打call]
king金鑫-音乐制作,15400649,"腾讯、网易音乐人：king金鑫
音乐制作、作曲、作词、编曲
jay铁粉，以更新个人原创歌曲、jay相关改编、二创视频为主，谢谢关注
",周杰伦牛逼！
Frankiiu,176431710,Peace&Love,听了钢琴前奏就感觉...周杰伦不愧是华语乐坛永远的神。[打call]
毕导THU,254463269,科学的精神……是什么？  公众号/微博：毕导THU。B站商务联系: s1012295607,Ohhhhhhhh！终于来了！
杭州联通,505670427,为了防止世界被破坏，为了守护世界的和平，贯彻爱与真实的主题，可爱又迷人的up主，杭州联通是也~~,你知道我这6年是怎么过来的嘛！！！！
黑暗骑士SWEET,174385946,不要这高，不要这多雪（商务合作请加微信号hzy5DSB或发送至邮箱mcn@youximedia.net）,周杰伦，古典的神
歪果仁研究协会,32820037,微博@歪果仁研究协会 商务合作bd@wewowwe.com,这世上的热闹 出自孤单
粤吃粤好味,112244787,商务/非商务合作可私信联系||一个大约200斤的肥宅.....宅男....又丑....又胖...,"2000年我遇到一位《可爱的女人》，可是我《开不了口》，因为她真的太优秀了，我只能《安静》的在远处看着她，时过境迁，物是人非了，和她已经很久没联系了，身边也有很多人离开了，这是真的想《回到过去》，想喝一下《爷爷泡的茶》，想回到《三年二班》的那个《晴天》的日子，想和一切来不及说上话的说一句藏在心里很久的话，《你听得到》吗？
           那个带着《七里香》的夏天又来了，你们邀请我去参加《园游会》，说她也回来了…可是我却找了一个《借口》说我有事就不去了，晚上我一个人在哼唱着《夜曲》，听着你最喜欢的《发如雪》，吃着以前我们以前最喜欢的《麦芽糖》，幻想着我们能一起去看《珊瑚海》，可是一切都太晚了，你《听妈妈的话》，去了《千里之外》进修，再回来之时，早已与以前那个你不一样了…你变得更加的优秀，我只能一遍又一遍的《退后》，因为《我不配》，我太废了，我可能就是一个《阳光宅男》吧，大概，也可能不是！
          又过了几年了，整理电脑的时候突然发现以前和你的合照，还记得那天你看到《彩虹》，非常开心，还说赶紧许愿才行，我们也做了一个《蒲公英的约定》，希望我们的相遇会是一部《最长的电影》！
         今年又是下雨的一天，不想起床了，《给我一首歌的时间》让我继续睡眠吧，梦里我与你一起去看《花海》，去到了《稻香》之处，遇到一个《流浪诗人》，我们去了很多地方，玩的很开心，可是《说好的幸福呢》，都是幻觉，如果有《时光机》那该多好！
        依稀记得，那天和你《说了再见》，如今回了一句《好久不见》，天空不作美，《雨下一整晚》，我每天活得就像《自导自演》！"
